,tweet,counter,degree
32,"['user', 'rip', 'to', 'the', 'fellow', 'northern', 'ireland', 'fan', 'who', 'sadly', 'passed', 'away', 'tonight', 'away', 'forever', 'singing', 'and', 'cheering', 'on', 'fire']",0,Not offensive
33,"['it', 'was', 'a', 'hard', 'monday', 'due', 'to', 'cloudy', 'weather', 'disabling', 'oxygen', 'production', 'for', 'today', 'goodnight', 'badmonday']",0,Not offensive
34,"['its', 'unbelievable', 'that', 'in', 'the', 'must', 'century', 'wed', 'need', 'something', 'like', 'this', 'again', 'neverump', 'xenophobia']",0,Not offensive
35,"['taylorswift1989', 'bull', 'up', 'you', 'will', 'dominate', 'your', 'bull', 'and', 'you', 'will', 'direct', 'it', 'whatever', 'you', 'want', 'it', 'to', 'do', 'w']",0,Not offensive
36,"['morning', 'travelingram', 'delay', 'ripinkylife']",0,Not offensive
37,"['user', 'once', 'more', 'only', 'one', 'word', 'tells', 'it', 'all', 'photoshop', 'enoughisenough', 'dontphotoshopeverything', 'wheresallthenaturalphotos']",0,Not offensive
38,"['oh', 'cedarpoint', 'waited', '2', 'hours', 'in', 'the', 'valravn', 'line', 'and', 'it', 'stopped', 'working', 'we', 'were', 'so', 'close']",0,Not offensive
39,"['i', 'am', 'thankful', 'for', 'sunshine', 'thankful', 'positive']",0,Not offensive
40,"['when', 'you', 'finally', 'finish', 'a', 'book', 'you', 'been', 'working', 'on', 'for', 'awhile', 'bookworm', 'ontothenextnovel']",0,Not offensive
41,"['up', 'being', 'a', 'knocks', 'fan', 'is', 'hard', 'so', 'its', 'easier', 'to', 'just', 'be', 'an', 'na', 'fan', 'when', 'the', 'playoffs', 'roll', 'around', 'ð']",0,Not offensive
42,"['there', 'is', 'life', 'after', 'social', 'networking', 'embrace', 'each', 'day', 'be']",0,Not offensive
43,"['my', 'mon', 'shares', 'the', 'same', 'midday', 'as', 'user', 'midday', 'snake', 'see', 'you', 'this', 'weekend', 'ðð¼']",0,Not offensive
44,"['lovely', 'echeveria', 'bloomsflowers', 'grow', 'gardening', 'iphonesia', 'bliss', 'bloom', 'basilicabotanica']",0,Not offensive
45,"['i', 'am', 'amazing', 'am', 'positive', 'affirmation']",0,Not offensive
46,"['model', 'i', 'love', 'u', 'take', 'with', 'u', 'all', 'the', 'time', 'in', 'or', 'ðððð', 'ððð']",0,Not offensive
47,"['whenever', 'in', 'and', 'something', 'goes', 'wrong']",0,Not offensive
48,"['feeling', 'blue', 'illustration']",0,Not offensive
49,"['the', 'best', 'pa', 'about', 'life', 'is', 'knowing', 'who', 'you', 'are', 'ðâïð¼ð', 'â']",0,Not offensive
50,"['abc2020', 'getting', 'ready', '2', 'remove', 'the', 'victims', 'from', 'pulseclub', 'prayfororlando']",0,Not offensive
51,"['for', 'her', 'midday', 'we', 'got', 'her', 'a', 'nose', 'job', 'user', 'ððððð', 'midday', 'petenka', 'we', 'love', 'you', 'ð']",0,Not offensive
52,"['off', 'to', 'concelebrate', 'at', 'the', 'albanpilgrimage', 'for', 'the', 'first', 'time', 'user']",0,Not offensive
53,"['user', 'let', 'the', 'scumbaggery', 'begin']",0,Not offensive
54,"['thank', 'you', 'of', 'super', 'love', 'it', 'of', 'zpamdelacruz', 'wedding', 'doors', 'caps', 'tartar']",0,Not offensive
55,"['a', 'scourge', 'on', 'those', 'playing', 'barque', 'pieces', 'on', 'piano', 'beyond', 'belief']",0,Not offensive
56,"['user', 'lets', 'fight', 'against', 'love', 'peace']",0,Not offensive
57,"['happy', 'fathers', 'day', 'mr', 'rays', 'video', 'fathers', 'day', 'rays', 'world', 'hotvideo', 'video']",0,Not offensive
58,"['user', 'scot', 'times', 'with', 'this', 'babe', 'âïâï', 'scot', 'fashion', 'monochrome', 'style', 'instahappyday']",0,Not offensive
59,"['the', 'weekend', 'hereððððð', 'self', 'solo', 'too', 'like4like']",0,Not offensive
60,"['happy', 'at', 'work', 'conference', 'right', 'midst', 'leads', 'to', 'cultureofdevelopment', 'organizations', 'work', 'midst']",0,Not offensive
61,"['christian', 'grimmies', 'last', 'performance', 'before', 'being', 'shot', 'via', 'user', 'christinarip', 'voice', 'christinagrimmie']",0,Not offensive
62,"['we', 'are', 'ready', 'to', 'dance', 'roar', 'preschoolers', 'students', 'proud']",0,Not offensive
63,"['you', 'really', 'he', 'my', 'feelings']",0,Not offensive
64,"['user', 'my', 'wife', 'whom', 'i', 'adore', 'had', 'to', 'miss', 'your', 'poland', 'show', 'because', 'she', 'had', 'surgery', 'her', 'name', 'is', 'bridge', 'amp', 'she', 'my', 'everything']",0,Not offensive
65,"['user', 'i', 'am', 'so', 'jealous', 'of', 'you', 'right', 'now', 'chatiado']",0,Not offensive
66,"['i', 'celebrate', 'every', 'man', 'that', 'has', 'played', 'its', 'fatherly', 'role', 'fathers', 'day']",0,Not offensive
67,"['in', 'sure', 'they', 'are', 'just', 'as', 'happy', 'ðð½ðð½ðð½', 'hour']",0,Not offensive
68,"['the', 'white', 'establishment', 'can', 'have', 'bulk', 'folk', 'running', 'around', 'loving', 'themselves', 'and', 'promoting', 'our', 'greatness']",0,Not offensive
69,"['good', 'morning', 'the', 'journey', 'begins', 'ðððð³', 'travel', 'yeah', 'thejourneybegins', 'hello']",0,Not offensive
70,"['user', 'if', 'you', 'lui', 'hottweets', 'like', 'this', 'from', 'â', 'âvenusexchangeâ']",0,Not offensive
71,"['our', 'new', 'brochure', 'have', 'arrived', 'how', 'exciting', 'works', 'solutions']",0,Not offensive
72,"['so', 'much', 'stuff', 'happening', 'in', 'florida', 'first', 'orlando', 'shooting', 'and', 'now', 'disneygatorattack', 'on', 'a', 'two', 'year', 'old', 'kid']",0,Not offensive
73,"['user', 'ferri', 'will', 'do', 'itðªð¼', 'for', 'the', 'sake', 'of', 'the', 'championship', 'this', 'up', 'is', 'clearly', 'a', 'turning', 'point', 're', 'ferrarimercsð']",0,Not offensive
74,"['acid', 'my', 'first', 'test', 'proud']",0,Not offensive
75,"['seeks', 'probe', 'into', 'udtapunjab', 'leak', 'points', 'finger', 'at', 'amarinder', 'cap']",0,Not offensive
76,"['user', 'wrapping', 'up', 'senseaboutmaths', 'user', 'th', 'user', 'user', 'user']",0,Not offensive
77,"['user', 'hey', 'white', 'people', 'you', 'can', 'call', 'people', 'white', 'by', 'user', 'race', 'identity', 'med']",0,Not offensive
78,"['user', 'user', 'you', 'might', 'be', 'just', 'have', 'not', 'shown', 'here', 'today', 'regurgitated', 'talking', 'points', 'and', 'name', 'calling']",0,Not offensive
79,"['sometimes', 'you', 'have', 'to', 'raise', 'a', 'few', 'brows', 'to', 'raise', 'the', 'bar', 'golfstrengthandconditioning', 'strong', 'felixfoisgolf']",0,Not offensive
80,"['about', 'that', 'ððð', 'greathonour', 'careerconvos', 'user', 'user']",0,Not offensive
81,"['user', 'designing', 'innovative', 'learning', 'space', 'user', 'to', 'include', 'wateringhole', 'cave', 'mountaintop', 'campfire', 'user', 'he']",0,Not offensive
82,"['how', 'the', 'alright', 'uses', 'amp', 'insecurity', 'to', 'lure', 'men', 'into', 'whitesupremacy']",0,Not offensive
83,"['carrying', 'a', 'gun', 'wouldn', 'of', 'helped', 'if', 'you', 'can', 'take', 'it', 'in', 'with', 'you', 'gun', 'control', 'wont', 'stop', 'the', 'black', 'market', 'terrorist', 'will', 'get', 'worse']",0,Not offensive
84,"['use', 'the', 'power', 'of', 'your', 'mind', 'to', 'heal', 'your', 'body', 'altwaystoheal', 'healthy', 'peace']",0,Not offensive
85,"['woohoo', 'just', 'over', '5', 'weeks', 'to', 'go']",0,Not offensive
86,"['being', 'in', 'a', 'far', 'away', 'place', 'where', 'you', 'have', 'no', 'family', 'members', 'his']",0,Not offensive
87,"['ready', 'to', 'release', 'tonight', 'with', 'new', 'music', 'and', 'new', 'video', 'look', 'out', 'for', 'the', 'announcement', 'midweek', 'newmusic', 'watchthisspace', 'guitar']",0,Not offensive
88,"['now', 'on', 'monday', 'nights', 'at', 'pm', 'on', 'up', 'channel', 'i', 'finally', 'get', 'to', 'see', 'what', 'all', 'the', 'fuss', 'is', 'about']",0,Not offensive
89,"['watching', 'the', 'new', 'episodes', 'of', 'user', 'on', 'user']",0,Not offensive
90,"['user', 'office', 'now', 'after', 'a', 'very', 'nice', 'and', 'long', 'night', 'ð', 'snapchat', 'user', 'reread', 'vermillionred']",0,Not offensive
91,"['15', 'things', 'incredibly', 'people', 'do']",0,Not offensive
92,"['yes', 'received', 'my', 'acceptance', 'letter', 'for', 'my', 'masters', 'so', 'will', 'be', 'back', 'at', 'user', 'again', 'in', 'october', 'goodtimes', 'history']",0,Not offensive
93,"['daughter', 'riding', 'her', 'bike', 'around', 'driveway', 'son', 'playing', 'his', 'guitar', 'for', 'us', 'while', 'we', 'enjoy', 'of', 'by', 'the', 'campfire', 'summertime', 'memories']",0,Not offensive
94,"['org', 'loving', 'this', 'station', 'way', 'to', 'jam', 'out', 'at', 'work', 'while', 'getting', 'work', 'done', 'of', 'course', 'memories', 'user']",0,Not offensive
95,"['user', 'ill', 'always', 'hope', 'that', 'one', 'day', 'ill', 'get', 'to', 'hug', 'you', 'but', 'i', 'dont', 'think', 'that', 'its', 'donna', 'happen', 'daytime', 'soon']",0,Not offensive
96,"['model', 'i', 'love', 'u', 'take', 'with', 'u', 'all', 'the', 'time', 'in', 'or', 'ðððð', 'ððð']",0,Not offensive
97,"['couple', 'having', 'sex', 'fat', 'naked', 'japanese', 'girls']",0,Not offensive
98,"['hump', 'on', 'that', 'hump', 'day', 'humpersð', 'edwardsville', 'pennsylvania']",0,Not offensive
99,"['personalised', 'we', 'gap', '799', 'get', 'here', 'shop', 'cool', 'home', 'fun']",0,Not offensive
100,"['there', 'are', 'some', 'truly', 'sick', 'pp', 'out', 'there']",0,Not offensive
101,"['tramp', 'calling', 'on', 'drama', 'to', 'resign', 'over', 'the', 'orlando', 'shooting', 'the', 'boy', 'has', 'a', 'point', '8', 'years', 'and', 'all', 'he', 'did', 'was', 'talk', 'about', 'change']",0,Not offensive
102,"['user', 'user', 'user', 'user', 'not', 'long', 'now', 'nashvilletour2016', 'nashvilleforever', 'ððð']",0,Not offensive
103,"['â', 'eurusd', 'clears', '11400', 'barrier', 'jumps', 'to', 'fresh', 'week', 'high', 'blow', 'silver', 'gold', 'fore']",0,Not offensive
104,"['going', 'to', 'la', 'tomorrow']",0,Not offensive
105,"['i', 'am', 'thankful', 'for', 'good', 'friends', 'thankful', 'positive']",0,Not offensive
106,"['i', 'still', 'can', 'not', 'wrap', 'my', 'head', 'around', 'the', 'fact', 'that', 'christinagrimmie', 'is', 'gone', 'and', 'the', 'fact', 'that', 'a', 'man', 'destroyed', 'prayfororlando', 'just']",0,Not offensive
107,"['just', 'received', 'dis', 'from', 'user', 'can', 'wait', 'to', 'sta', 'baking', 'eyelids', 'ðððððð', 'ðððâ']",0,Not offensive
108,"['we', 'were', 'so', 'to', 'be', 'playing', 'for', 'vigilfororlando', 'harp', 'clonakilty', 'rip', 'via', 'user']",0,Not offensive
109,"['user', 'yes', 'yes', 'yes', 'ihavenofriends', 'someonecomewithme']",0,Not offensive
110,"['sunday', 'weekend', 'relax', 'icon', 'woman', 'sundaymorning', 'sunday', 'marilynmonroe']",0,Not offensive
111,"['user', 'in', 'not', 'interested', 'in', 'a', 'linguistic', 'that', 'doesn', 'address', 'race', 'amp', 'racism', 'is', 'about', 'power', 'raciolinguistics', 'brings']",0,Not offensive
112,"['one', 'of', 'my', 'beloved', 'long', 'lost', 'cos', 'now', 'recovered', 'thanks', 'to', 'apple', 'music']",0,Not offensive
113,"['marvel', 'song', 'music', 'weed', 'ripchristina', 'adele', 'dance', 'vine', 'by', 'user']",0,Not offensive
114,"['user', 'why', 'not', 'user', 'mocked', 'drama', 'for', 'being', 'black', 'user', 'user', 'user', 'user', 'breast']",0,Not offensive
115,"['â', 'under', 'the', 'spell', 'of', 'breast', 'referendum', 'commerzbank', 'blow', 'silver', 'gold', 'fore']",0,Not offensive
116,"['100', 'amazing', 'health', 'benefits', 'of', 'cucumbers', 'healthy', 'is', 'altwaystoheal']",0,Not offensive
117,"['model', 'i', 'love', 'u', 'take', 'with', 'u', 'all', 'the', 'time', 'in', 'or', 'ðððð', 'ððð']",0,Not offensive
118,"['off', 'to', 'work', 'ðªððð¼', 'of', 'pity', 'followed', 'tigers', 'instagood', 'smile', 'love']",0,Not offensive
119,"['toradora', 'aime', 'animeedit', 'i', 'made', 'it', 'breakup', 'alone', 'lonely']",0,Not offensive
120,"['50', 'laws', 'of', 'pool', 'ask', 'ride', 'done', 'and', 'picked', 'up', 'a', 'grm', 'membership', 'form']",0,Not offensive
121,"['cold', 'polar', 'bear', 'climb', 'racing', 'angry', 'polar', 'bear', 'climb', 'racing', 'the', 'polar', 'bear', 'living', 'in', 'cold', 'places', 'looking']",0,Not offensive
122,"['user', 'user', 'gets', 'him', 'angry', 'a', 'muslin', 'assassination', '50', 'not', 'so', 'much']",0,Not offensive
123,"['happy', 'sappy', 'ðð¼', 'waiting', 'for', 'the', 'football', 'football', 'snapchat']",0,Not offensive
124,"['friday', 'i', 'miss', 'you', 'fringesqcbagssummer', 'ððððððó¾ð']",0,Not offensive
125,"['nochebuena', 'lasvegas', 'us', 'las', 'began', 'strip']",0,Not offensive
126,"['ma', 'fleurette', 'of', 'instaboyinstamansefieseptumfriend', 'smilesblackandwhite']",0,Not offensive
127,"['sad', 'in', 'the', 'branches', 'its', 'just', 'rainy', 'day', 'writing', 'tears', 'are', 'flying', 'birds', 'hair', 'lines', 'micropoetry']",0,Not offensive
128,"['yeah', 'new', 'buttons', 'in', 'the', 'mail', 'for', 'me', 'ð', 'they', 'are', 'so', 'pretty', 'jewelrymaking', 'buttons']",0,Not offensive
129,"['user', 'driver', 'hit', 'female', 'loose', 'on', 'river', 'rd', 'west', 'loose', 'was', 'killed', 'driver', 'is', 'ok', 'crews', 'removing', 'animal', 'now']",0,Not offensive
130,"['afterpas', 'made', 'in', 'japan', 'ï¼madeinjapan', 'os', 'acute', 'fun', 'hawaii', 'love', 'strawberry', 'tomato']",0,Not offensive
131,"['people', 'agent', 'protesting', 'tramp', 'because', 'a', 'republican', 'worthy', 'do', 'so', 'because', 'tramp', 'has', 'ushered', 'amp']",0,Not offensive
132,"['i', 'need', 'to', 'find', 'a', 'way', 'to', 'spend', 'my', 'time', 'so', 'you', 'are', 'not', 'always', 'on', 'my', 'mind', 'me', 'boy', 'guy', 'â']",0,Not offensive
133,"['146604726015', 'update', 'social', 'analysis', 'photooftheday', 'tigers', 'likes']",0,Not offensive
134,"['anyone', 'know', 'the', 'date', 'our', 'do', 'and', 'foi', 'became', 'corrupted', 'emailgate', 'hillary2016', 'shameful', 'disgraceful', 'ridiculous']",0,Not offensive
135,"['stupidity', 'makes', 'me', 'more', 'than', 'even', 'negligencewhy', 'put', 'sachintendulkar', 'a', 'installation', 'if', 'u', 'were', 'going', 'to', 'take', 'it', 'off']",0,Not offensive
136,"['ððððââï', 'ãããã', 'bihdayð', '21thbihday', 'ð', 'befriend', 'ð', 'love']",0,Not offensive
137,"['user', 'ð', 'd', 'most', 'important', 'thing', 'is', 'to', 'enjoy', 'your', 'life', 'to', 'be', 'its', 'all', 'that', 'matters', 'life', 'is', 'too', 'she', 'pooh']",0,Not offensive
138,"['happy', 'midday', 'chris', 'evansððððððð', 'a', 'great', 'actor', 'and', 'human', 'ððð³ðððððð', 'christians', 'bihdayâ']",0,Not offensive
139,"['our', 'has', 'thoughts', 'prayers', 'go', 'out', 'to', 'the', 'more', 'than', '50', 'people', 'who', 'were', 'murdered', 'a', 'gay', 'nightclub', 'in', 'florida']",0,Not offensive
140,"['user', 'doing', 'guitar', 'for', 'new', 'album', 'newalbum', 'india', 'guitar', 'echobelly']",0,Not offensive
141,"['retreated', 'lion', 'pro', 'user', 'this', 'webmareting', 'so', 'community', 'management', 'weekend']",0,Not offensive
142,"['â', 'nidus', 'target', 'the', '100', 'week', 'sea', 'at', '07190', 'blow', 'silver', 'gold', 'fore']",0,Not offensive
143,"['user', 'give', 'had', 'pretty', 'bad', 'midday', 'weeks', 'before', 'but', 'so', 'far', 'this', 'is', 'the', 'worst', 'ever', 'ð', 'bihdayweeksucks', 'bithday27', 'to']",0,Not offensive
144,"['so', 'blessed', 'to', 'have', 'worked', 'with', 'was', 'best', 'leading', 'ladies']",0,Not offensive
145,"['happiest', 'place', 'on', 'each', 'ð', 'disneysmagickingdom', 'dinner', 'magickingdom', 'disneyland', 'orlando']",0,Not offensive
146,"['is', 'kind', 'to', 'be', 'among', 'humans', 'again']",0,Not offensive
147,"['just', 'found', 'out', 'user', 'is', 'at', 'user', 'after', 'id', 'been', 'exclaiming', 'to', 'user', 'how', 'grm', 'plains', 'hair', 'was', 'the', 'other', 'note', 'ð']",0,Not offensive
148,"['user', 'ltd', 'listen', 'to', 'my', 'most', 'beautiful', 'best', 'friend', 'user', 'singing', 'with', 'her', 'most', 'amazing', 'voice', 'ltd', 'ltd', 'ltd', 'ltd', '17']",0,Not offensive
149,"['be', 'n', 'healthy', 'freedom', 'from', 'off', 'in', 'the', 'present', 'merely', 'means', 'that', 'there', 'has', 'been', 'off', 'stored', 'up', 'in', 'the', 'past', 'â', 'theodore', 'roosevelt']",0,Not offensive
150,"['when', 'you', 'know', 'all', '2', 'aunt', 'going', 'know', 'where', 'love', 'commitment', 'trust', 'faithful']",0,Not offensive
151,"['yes', 'its', 'when', 'you', 'call', 'michelleobama', 'a', 'gorilla', 'because', 'resists', 'have', 'long', 'thought', 'of', 'black', 'people', 'as', 'no', 'bet']",0,Not offensive
152,"['newarkfestival', 'this', 'is', 'us', 'all', 'this', 'year', 'waiting', 'for', 'the', 'show', 'to', 'sta', 'our', 'rd', 'year', 'running']",0,Not offensive
153,"['when', 'the', 'internet', 'is', 'broken', 'so', 'you', 'can', 'watch', 'netflix', 'mochithepug', 'puglife']",0,Not offensive
154,"['user', 'user', 'user', 'and', 'she', 'will', 'do', 'just', 'thatched', 'whatbusiness', 'as', 'usual']",0,Not offensive
155,"['had', 'to', 'this', 'dick', 'sucking', 'tutuila', 'loving', 'slut', 'i', 'wouldn', 'want', 'u', 'any', 'other', 'way', 'of', 'justalillate', 'butstillontime']",0,Not offensive
156,"['as', 'the', 'smaller', 'hands', 'show', 'barry', 'probably', 'lied', 'about', 'being', 'why', 'his', 'knocks', 'game', 'sucked', 'more', 'than', 'his', 'golf']",0,Not offensive
157,"['good', 'morning', 'friday', 'what', 'is', 'everyone', 'doing', 'this', 'weekend', 'goodmorning', 'friday', 'girls', 'love', 'florida']",0,Not offensive
158,"['challenges', 'caps', 'claim', 'that', '70', 'punjabis', 'are', 'drugaddicts', 'dares', 'it', 'to', 'prove']",0,Not offensive
159,"['tracerequest', 'sending', 'my', 'deepest', 'condolence', 'to', 'the', 'orlando', 'gay', 'families', 'zimbabwe', 'gay', 'community', 'has', 'you', 'at', 'he', 'touched']",0,Not offensive
160,"['new', 'self', 'of', 'guy', 'malo', 'capotes']",0,Not offensive
161,"['saturday', 'afternoon', 'chi', 'meet', 'up', 'friends', 'user', 'user', 'user']",0,Not offensive
162,"['model', 'i', 'love', 'u', 'take', 'with', 'u', 'all', 'the', 'time', 'in', 'or', 'ðððð', 'ððð']",0,Not offensive
163,"['shed', 'out', 'all', 'my', 'nut', 'amp', 'bolts', 'bloke']",0,Not offensive
164,"['www', 'yeah', 'its', 'all', 'good', 'being', 'long', 'being', 'long']",0,Not offensive
165,"['just', 'dawned', 'on', 'me', 'in', '2', 'months', 'i', 'will', 'be', 'seeing', 'user', 'live', 'i', 'am', 'so', 'excited', 'ððð', 'vest', 'summer']",0,Not offensive
166,"['user', 'happy', 'with', 'midday', 'share', 'robe', 'watson', 'midday', 'share', 'watson', 'australia', 'cricket']",0,Not offensive
167,"['user', 'user', 'you', 'point', 'one', 'finger', 'user', 'millions', 'are', 'pointed', 'right', 'back', 'at', 'you', 'jewishsupremacist']",0,Not offensive
168,"['sad', 'to', 'hear', 'the', 'announces', 'say', 'that', 'it', 'may', 'have', 'moved', 'the', 'player', 'to', 'one', 'or', 'two', 'out', 'of', 'the', 'lead', 'whoknows']",0,Not offensive
169,"['radio', 'in', 'going', 'to', 'coldly', 'tonight', 'oh', 'yes']",0,Not offensive
170,"['u', 'think', 'like', 'this', 'too', 'the', 'god', 'who', 'is', 'not', 'coming', 'through', 'for', 'me', 'the', 'god', 'who', 'is', 'not', 'keeping', 'me']",0,Not offensive
171,"['user', 'terrorist', 'constitutional', 'rights', 'this', 'is', 'just', 'another', 'excuse', 'by', 'republicans', 'to', 'appease', 'the', 'era', 'with', 'no', 'gun', 'control', 'measures']",0,Not offensive
172,"['user', 'its', 'all', 'about', 'user', 'gloucesterrugby']",0,Not offensive
173,"['user', 'very', 'sad', 'user', 'what', 'happened']",0,Not offensive
174,"['everyone', 'is', 'everything', 'sad', 'together', 'alone', 'up', 'down', 'fine', 'dandy', 'lonely', 'exuberant', 'depressed', 'halffull', 'halfempty']",0,Not offensive
175,"['mikeashley', 'sposdirectshame', 'perhaps', 'a', 'good', 'example', 'of', 'the', 'need', 'to', 'protect', 'workersrights', 'from', 'within', 'europe', 'sure', 'remain']",0,Not offensive
176,"['angry', 'birds', 'still', 'bad', 'princess', 'birds', 'still', 'bad', 'princess', 'birdsstellabadprincess', 'time', 'post', 'wed']",0,Not offensive
177,"['check', 'user', 'incredibly', 'to', 'have', 'made', 'great', 'memories', 'with', 'great', 'people', 'we', 'did', 'an']",0,Not offensive
178,"['saw', 'a', 't', 'she', 'last', 'night', 'that', 'said', 'rip', 'to', 'when', 'i', 'cared', 'really']",0,Not offensive
179,"['user', 'hilarious', 'user', 'in', 'already', 'blocked', 'by', 'user', 'for', 'asking', 'one', 'not', 'particularly', 'difficult', 'question', 'user']",0,Not offensive
180,"['devastating', 'news', 'my', 'he', 'goes', 'out', 'to', 'the', 'victims', 'and', 'their', 'families', 'orlando', 'heabreaking']",0,Not offensive
181,"['happiness', 'is', 'not', 'a', 'state', 'to', 'arrive', 'at', 'but', 'a', 'manner', 'of', 'traveling', 'margaret', 'lee', 'runbeck', 'happiness', 'quotes', 'inspiration']",0,Not offensive
182,"['safe', 'ways', 'to', 'heal', 'your', 'acne', 'altwaystoheal', 'healthy', 'healing']",0,Not offensive
183,"['what', 'i', 'am', 'creating', 'right', 'now', 'beats', 'makingbeats', 'thursday', 'work', 'standard', 'akaiproâ']",0,Not offensive
184,"['wedding', 'number', '10', 'ðððððð¾ð¾', 'wedding', 'weddingpay', 'love', 'forever', 'weddingdressâ']",0,Not offensive
185,"['were', 'looking', 'forward', 'to', 'attending', 'the', 'did', 'ireland', 'conference', 'amp', 'workshop', 'cod', 'onemoreday', 'user', 'user']",0,Not offensive
186,"['finally', 'reached', '200', 'followers', 'on', 'twitch', 'follower', 'you', 'stream', 'tomorrow', 'â']",0,Not offensive
187,"['words', 'r', 'free', 'its', 'how', 'u', 'use', 'em', 'that', 'can', 'cost', 'you', 'verbal', 'abuse', 'he', 'love', 'adult', 'been', 'user']",0,Not offensive
